name,capacity,town,population,roofed,latitude,longitude
Auditorio El Torreón de Pozuelo de Alarcón,5000,Pozuelo de Alarcón,89378,False,40.44318661990297,-3.8135593619133727
Salón de Actos(Centro Municipal de Cultura) de Pinto,245,Pinto,56003,True,40.2405603,-3.695531685040984
Auditorio Teresa Berganza(Coliseo de la Cultura) de Villaviciosa de Odón,611,Villaviciosa de Odón,28750,True,40.35698995,-3.9045732923616
Auditorio del Parque Juan Carlos I de Pinto,5000,Pinto,56003,False,40.23714133562095,-3.696320807081972
Auditorio(Casa de la Cultura) de Bullas,264,Bullas,11664,True,38.0496139,-1.6705548532815464
Teatro Municipal Florida de Algeciras,931,Algeciras,124978,True,36.12716164349848,-5.450575565428556
Casa de Cultura de Olvera,180,Olvera,7887,True,36.93574916535129,-5.265484182707369
Centro Joven de Mula,500,Mula,17382,False,38.03868944150224,-1.4972057248392208
Sala Muntaner de Barcelona,200,Barcelona,1702547,True,41.3841161,2.162911
Versus Teatre de Barcelona,102,Barcelona,1702547,True,41.4020744,2.1838973
Agrupación Musical Santa Cecilia de Sedavi,400,Sedaví,10637,True,39.4247436,-0.3851011
Teatre del Raval de Gandía,214,Gandia,80095,True,38.96119814399282,-0.1826109574759584
